package,module,source,output,reference,generic_before,generic_after,renamed_symbols,syntax_ok,bytecode_equal,encoding_ok,newline_ok,mode
mir264,mir2.scenes.main.console.widget.tasks,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.console.widget.tasks,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.console.widget.tasks.lua,,668,0,130,True,True,True,True,scope-safe-readable-fallback
mir264,mir2.scenes.main.console.widget.voiceBtnJIT,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.console.widget.voiceBtnJIT,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.console.widget.voiceBtnJIT.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.console.widget.voiceBtnJIT.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.map.def,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.map.def,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.map.def.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.map.def.lua,27,0,8,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.map.maptile,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.map.maptile,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.map.maptile.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.map.maptile.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel._delegate,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel._delegate,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel._delegate.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel._delegate.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.bag,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.bag,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.bag.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.bag.lua,4,0,2,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.bigmap,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.bigmap,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.bigmap.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.bigmap.lua,931,0,191,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.bigmap1,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.bigmap1,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.bigmap1.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.bigmap.lua,938,0,195,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.bigmapOther,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.bigmapOther,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.bigmapOther.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.bigmapOther.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.charge,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.charge,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.charge.lua,,236,0,62,True,True,True,True,function-local-readable+method-sugar
